0.046351	0.000053	0.000044	0.078881	0.904233	0.001543	0.015246
0.088316	0.000030	0.000025	0.045006	0.937485	0.001604	0.015850
0.069507	0.000032	0.000028	0.025339	0.956695	0.001646	0.016260
0.071038	0.000037	0.000033	0.014206	0.967433	0.001681	0.016610
0.067815	0.000134	0.000128	0.007997	0.972979	0.001724	0.017038
0.096631	0.000121	0.000120	0.004576	0.975624	0.001798	0.017762
0.064357	0.000267	0.000266	0.002718	0.975581	0.001945	0.019223
0.059876	0.500403	0.499597	0.000000	0.000000	0.000000	0.000000
0.650469	0.488018	0.511982	0.000000	0.000000	0.000000	0.000000
0.636720	0.435492	0.564508	0.000000	0.000000	0.000000	0.000000
0.612686	0.409451	0.590549	0.000000	0.000000	0.000000	0.000000
0.643182	0.000001	0.000008	0.923071	0.061956	0.011992	0.002973
0.079266	0.000007	0.000006	0.980108	0.016006	0.003098	0.000775
0.119550	0.000008	0.000007	0.976954	0.018543	0.003590	0.000898
0.073266	0.000049	0.000040	0.969637	0.024372	0.004720	0.001180
0.068772	0.550000	0.450000	0.000000	0.000000	0.000000	0.000000
0.635203	0.554867	0.445133	0.000000	0.000000	0.000000	0.000000
0.621329	0.543761	0.456239	0.000000	0.000000	0.000000	0.000000
0.656331	0.464257	0.535743	0.000000	0.000000	0.000000	0.000000
0.610206	0.000000	0.000001	0.581023	0.334992	0.068987	0.014997
0.054760	0.000001	0.000001	0.623574	0.350808	0.021041	0.004574
0.089587	0.000005	0.000004	0.607826	0.362679	0.024220	0.005265
0.072195	0.000070	0.000057	0.595781	0.368340	0.029367	0.006384
0.093312	0.549996	0.450004	0.000000	0.000000	0.000000	0.000000
0.542033	0.538755	0.461245	0.000000	0.000000	0.000000	0.000000
0.646408	0.515091	0.484909	0.000000	0.000000	0.000000	0.000000
0.633157	0.465717	0.534283	0.000000	0.000000	0.000000	0.000000
0.618801	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.652642	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.649101	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.620621	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.665094	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.656935	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.661806	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.619281	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
0.635440	0.000000	0.000599	0.579674	0.403625	0.000000	0.016102
0.151737	0.000000	0.000000	0.591138	0.404519	0.000000	0.004343
0.065008	0.000002	0.000001	0.580137	0.414845	0.000000	0.005015
0.065854	0.000022	0.000018	0.565572	0.428283	0.000000	0.006104
0.077174	0.000382	0.000312	0.099322	0.887327	0.000000	0.012657
