signal	P(dit) 	P(dah)	P(spc)	P(chrspc)	P(wrdspc)	P(pause)
0.702909	0.001821	0.016922	0.570194	0.328697	0.067658	0.014708
0.225633	0.000064	0.000148	0.598115	0.363046	0.031729	0.006898
0.166605	0.002730	0.002275	0.591276	0.358728	0.036956	0.008034
0.213740	0.000564	0.000464	0.486331	0.455488	0.046947	0.010206
0.133439	0.013301	0.010889	0.116564	0.763369	0.078755	0.017121
0.158288	0.004253	0.003618	0.070408	0.818681	0.084640	0.018401
0.161412	0.006297	0.005960	0.040876	0.840612	0.087278	0.018976
0.165233	0.009032	0.011703	0.024019	0.847172	0.088772	0.019301
0.159831	0.002849	0.053461	0.019934	0.817123	0.087588	0.019045
0.187926	0.001349	0.080294	0.007423	0.802472	0.089089	0.019374
0.132892	0.003607	0.177269	0.004203	0.709954	0.086215	0.018752
0.147109	0.007595	0.386787	0.002913	0.508185	0.077631	0.016889
0.147929	0.492404	0.507594	0.000000	0.000001	0.000001	0.000000
0.500459	0.487241	0.512759	0.000000	0.000000	0.000000	0.000000*
0.630582	0.458284	0.541716	0.000000	0.000000	0.000000	0.000000
0.616697	0.336891	0.663109	0.000000	0.000000	0.000000	0.000000
0.665729	0.039416	0.475677	0.447649	0.030000	0.005807	0.001452
0.268572	0.004914	0.086497	0.872930	0.028712	0.005558	0.001389
0.203978	0.001958	0.004930	0.951278	0.033683	0.006521	0.001630
0.176557	0.005541	0.005127	0.933561	0.044900	0.008697	0.002174
0.163052	0.549970	0.450025	0.000003	0.000001	0.000000	0.000000
0.468581	0.537245	0.462755	0.000000	0.000000	0.000000	0.000000
0.628938	0.507993	0.492007	0.000000	0.000000	0.000000	0.000000
0.639520	0.460517	0.539483	0.000000	0.000000	0.000000	0.000000
0.548886	0.097146	0.902854	0.000000	0.000000	0.000000	0.000000
0.632146	0.057053	0.942947	0.000000	0.000000	0.000000	0.000000
0.651161	0.032972	0.967028	0.000000	0.000000	0.000000	0.000000
0.666704	0.018936	0.981064	0.000000	0.000000	0.000000	0.000000
0.723059	0.010910	0.989090	0.000000	0.000000	0.000000	0.000000
0.661701	0.006396	0.993604	0.000000	0.000000	0.000000	0.000000
0.667185	0.003930	0.996070	0.000000	0.000000	0.000000	0.000000
0.659078	0.002768	0.997232	0.000000	0.000000	0.000000	0.000000
0.610837	0.010508	0.895398	0.054577	0.037996	0.000006	0.001516
0.384749	0.000271	0.020371	0.574148	0.388915	0.000762	0.015533
0.223143	0.000068	0.000106	0.571806	0.417920	0.000502	0.009597
