0.268709	0.002162	0.103604	0.532691	0.352013	0.000081	0.009449
0.234027	0.064170	0.333727	0.361875	0.236292	0.000030	0.003907
0.286286	0.017552	0.050044	0.533810	0.390933	0.000111	0.007549
0.197756	0.528563	0.471437	0.000000	0.000000	0.000000	0.000000
0.634278	0.527972	0.472028	0.000000	0.000000	0.000000	0.000000
0.615647	0.517688	0.482312	0.000000	0.000000	0.000000	0.000000
0.716240	0.526978	0.473022	0.000000	0.000000	0.000000	0.000000
0.579996	0.024040	0.096294	0.511118	0.294667	0.060688	0.013193
0.258695	0.006031	0.050384	0.577281	0.332344	0.027896	0.006064
0.241547	0.002673	0.008794	0.596611	0.352519	0.032366	0.007036
0.213380	0.021426	0.031346	0.553321	0.349988	0.036076	0.007843
0.237791	0.549831	0.450169	0.000000	0.000000	0.000000	0.000000
0.756975	0.550309	0.449691	0.000000	0.000000	0.000000	0.000000
0.673652	0.543920	0.456080	0.000000	0.000000	0.000000	0.000000
0.666990	0.526978	0.473022	0.000000	0.000000	0.000000	0.000000
0.614318	0.199778	0.800222	0.000000	0.000000	0.000000	0.000000
0.616120	0.080914	0.919086	0.000000	0.000000	0.000000	0.000000
0.705133	0.046184	0.953816	0.000000	0.000000	0.000000	0.000000
0.587619	0.025988	0.974012	0.000000	0.000000	0.000000	0.000000
0.696094	0.014540	0.985460	0.000000	0.000000	0.000000	0.000000
0.691899	0.008149	0.991851	0.000000	0.000000	0.000000	0.000000
0.688595	0.004614	0.995386	0.000000	0.000000	0.000000	0.000000
0.661884	0.002679	0.997321	0.000000	0.000000	0.000000	0.000000
0.613616	0.000013	0.008149	0.575298	0.399797	0.000774	0.015968
0.208719	0.000906	0.001289	0.588581	0.402940	0.000576	0.005709
0.256095	0.000346	0.000276	0.575497	0.416758	0.000654	0.006469
0.204322	0.000377	0.000309	0.503186	0.487798	0.000766	0.007563
0.171781	0.008207	0.006716	0.123861	0.846748	0.001330	0.013138
0.177125	0.022405	0.018770	0.070268	0.873605	0.001379	0.013573
0.243982	0.044353	0.041031	0.038603	0.861171	0.001420	0.013422
0.214552	0.233421	0.260366	0.014056	0.483514	0.001037	0.007605
0.238443	0.000263	0.491915	0.142333	0.340248	0.016899	0.008342
0.186990	0.003558	0.781741	0.056153	0.152549	0.003474	0.002525
